"id_node"	"label"	"continent"	"long"	"lat"	"GDP95"	"GDPgrowth"	"Popul95"	"Popugrowth"
1	Algeria	1.0	2.0	28.0	1209.0	1.6	28058.0	2.36
2	Argentina	6.0	-58.38333333333333	-34.6	8042.0	6.1	34768.0	1.33
3	Australia	5.0	149.1245	-35.308	20333.0	3.3	17946.0	1.22
4	Austria	3.0	16.35	48.2	28942.0	2.0	8001.0	0.75
6	Bangladesh	2.0	90.35	23.7	272.0	4.9	118616.0	1.61
5	Barbados	6.0	-59.55	13.166666666666666	7053.0	1.0	264.0	0.55
7	Belgium, Lux.	3.0	4.35	50.85	27129.0	1.5	10495.0	0.27
8	Belize	4.0	-88.7	17.066666666666666	2753.0	3.9	213.0	2.59
9	Bolivia	6.0	-64.666	-16.712	885.0	3.9	7414.0	2.41
10	Brazil	6.0	-47.95	-15.75	4501.0	2.9	159346.0	1.49
11	Canada	4.0	-75.66666666666667	45.4	19362.0	1.8	29617.0	1.27
12	Chile	6.0	-70.66666666666667	-33.43333333333333	4589.0	8.3	14210.0	1.63
13	China	2.0	103.0	35.0	584.0	11.2	1220516.0	1.1
14	Colombia	6.0	-74.06666666666666	4.583333333333333	2089.0	4.0	38542.0	1.95
15	Croatia	3.0	16.0	45.8	4187.0	-2.8	4493.0	-0.11
16	Cyprus	3.0	33.36666666666667	35.166666666666664	11818.0	3.7	744.0	1.78
17	Czech Rep.	3.0	14.466666666666667	50.083333333333336	4922.0	-1.3	10325.0	0.04
18	Denmark	3.0	10.0	56.0	33121.0	2.2	5225.0	0.33
19	Ecuador	6.0	-78.35	-0.15	1565.0	3.2	11460.0	2.2
20	Egypt	1.0	30.0	26.0	970.0	4.0	62282.0	2.01
21	El Salvador	4.0	-89.16666666666667	13.666666666666666	1675.0	5.3	5669.0	2.07
22	Fiji	5.0	179.0	-18.0	2604.0	1.2	768.0	1.11
23	Finland	3.0	26.0	64.0	24653.0	0.9	5108.0	1.11
24	France	3.0	2.0	47.0	26458.0	1.3	58020.0	0.45
25	French Guiana	6.0	2.3330555555555557	48.86666666666667	11415.0	3.9	147.0	4.53
26	Germany	3.0	13.383333333333333	52.516666666666666	29419.0	2.2	81661.0	0.57
27	Greece	3.0	22.0	39.0	10900.0	1.7	10489.0	0.52
28	Guadeloupe	6.0	-61.75	12.05	9204.0	0.2	424.0	1.65
29	Guatemala	4.0	-90.5	14.633333333333333	1469.0	4.1	9976.0	2.63
30	Honduras	4.0	-87.21666666666667	14.1	700.0	3.7	5654.0	2.95
31	Hong Kong	2.0	114.2	22.3	22372.0	5.2	6224.0	1.74
32	Hungary	3.0	19.25	47.43333333333333	4274.0	-0.6	10227.0	-0.27
33	Iceland	3.0	-18.0	65.0	26006.0	1.9	268.0	1.04
34	India	2.0	77.20833333333333	28.613333333333333	370.0	5.5	933665.0	1.86
35	Indonesia	2.0	106.82833333333333	-6.175	1024.0	7.4	197464.0	1.54
36	Ireland	3.0	44.0	36.18333333333333	17888.0	6.8	3609.0	0.6
37	Israel	2.0	35.0	31.0	16506.0	6.2	5566.0	3.55
38	Italy	3.0	12.483333333333333	41.9	18975.0	1.1	57338.0	0.11
39	Japan	2.0	139.76666666666668	35.68333333333333	40920.0	1.7	125472.0	0.31
40	Jordan	2.0	36.51	31.24	1159.0	7.1	5734.0	4.32
41	Korea, Rep. Of	2.0	10.2188888889	47.5597222222	10153.0	-4.9	44949.0	0.95
42	Kuwait	2.0	47.96666666666667	29.366666666666667	15717.0	9.2	1690.0	-4.75
43	Latvia	3.0	25.0	57.0	1754.0	-8.3	2537.0	-1.13
44	Madagascar	1.0	47.0	-20.0	115.0	1.0	13744.0	3.34
45	Malaysia	2.0	101.7	3.1333333333333333	4342.0	8.5	20108.0	2.39
46	Martinique	6.0	171.06666666666666	7.116666666666666	12711.0	0.8	379.0	1.0
47	Mauritius	1.0	57.5	-20.2	3567.0	5.1	1114.0	1.06
48	Mexico	4.0	-99.13333333333334	19.433333333333334	3140.0	2.8	91145.0	1.82
62	Moldava, Rep. Of	3.0	43.75	-12.25	329.0	-13.3	4376.0	0.05
49	Morocco	1.0	7.583333333333333	33.53333333333333	1270.0	2.2	25966.0	1.63
50	Netherlands	3.0	5.55	52.31666666666667	25769.0	2.5	15459.0	0.67
51	New Zealand	5.0	174.0	-42.0	16402.0	3.0	3671.0	1.77
52	Nicaragua	4.0	-85.0	13.0	427.0	2.4	4426.0	2.91
53	Norway	3.0	8.0	61.0	33708.0	3.9	4349.0	0.5
54	Oman	2.0	58.55	23.6	6382.0	5.5	2155.0	3.77
55	Pakistan	2.0	73.16666666666667	33.666666666666664	502.0	4.0	136244.0	2.68
56	Panama	4.0	-79.53333333333333	8.966666666666667	3005.0	4.9	2631.0	1.86
57	Paraguay	6.0	-57.666666666666664	-25.266666666666666	1860.0	2.9	4828.0	2.7
58	Peru	6.0	-77.02833333333334	-12.043333333333333	2501.0	5.3	23532.0	1.74
59	Philippines	2.0	121.03333333333333	14.633333333333333	1084.0	3.1	68354.0	2.38
60	Poland	3.0	21.033333333333335	52.21666666666667	3083.0	3.4	38610.0	0.26
61	Portugal	3.0	-9.183333333333334	38.7	10620.0	2.2	9856.0	-0.02
63	R̩union	1.0	21.0	52.21666666666667	11856.0	2.9	655.0	1.62
64	Romania	3.0	26.1	44.416666666666664	1561.0	-0.4	22731.0	-0.41
65	Seychelles	1.0	55.45	-4.616666666666667	6920.0	7.3	76.0	1.1
66	Singapore	2.0	103.8	1.3666666666666667	25645.0	8.2	3321.0	1.92
67	Slovenia	3.0	14.5	46.05	9419.0	0.5	1990.0	0.74
68	Southern Africa	1.0	45.03333333333333	12.8	3566.0	1.3	37470.0	1.94
69	Spain	3.0	-4.0	43.0	14140.0	1.8	39568.0	0.13
70	Sri Lanka	2.0	81.0	7.0	721.0	5.3	17920.0	1.0
71	Sweden	3.0	18.066666666666666	59.35	26296.0	0.8	8800.0	0.56
72	Switzerland	3.0	8.333333333333334	46.833333333333336	43034.0	0.1	7143.0	0.88
73	Thailand	2.0	100.48333333333333	13.75	2869.0	6.8	58610.0	1.06
74	Trinidad Tobago	6.0	76.91666666666667	8.433333333333334	4080.0	1.9	1262.0	0.76
75	Tunisia	1.0	9.0	34.0	2013.0	4.6	8943.0	1.84
76	Turkey	3.0	28.95	41.016666666666666	2763.0	4.3	61276.0	1.77
77	United Kingdom	3.0	-0.11666666666666667	51.5	18991.0	1.7	58308.0	0.26
78	United States	4.0	-77.01666666666667	38.88333333333333	26341.0	2.6	267020.0	0.99
79	Uruguay	6.0	-56.166666666666664	-34.88333333333333	5526.0	3.9	3218.0	0.71
80	Venezuela	6.0	-66.96666666666667	10.5	3496.0	2.8	21844.0	2.27
